"Month","Species","Area","Transect","Quadrat","Biomass","Hits","hits_s","hits","species","model"
"May","Little bluestem","NWT","NWT-1",4,0.9,6,-0.311797650594964,6,"Little bluestem","Model 2"
"May","Little bluestem","NWT","NWT-1",5,0.9,6,-0.311797650594964,6,"Little bluestem","Model 2"
"May","Stiff goldenrod","NET","NET-3",4,0.9,1,-0.514135436213015,1,"Stiff leaf goldenrod","Model 2"
"July","Black medic","SWT","SWT-1",1,0.9,13,-0.0285247507296934,13,"Black medic","Model 2"
"July","Bull thistle","WMT","WMT-3",6,0.9,0,-0.554602993336625,0,"Bull thistle","Model 2"
"July","Common milkweed","NET","NET-2",6,0.9,0,-0.554602993336625,0,"Common milkweed","Model 2"
"July","Cup plant","SWT","SWT-1",6,0.9,0,-0.554602993336625,0,"Cup plant","Model 2"
"July","Field bindweed","SWT","SWT-1",1,0.9,2,-0.473667879089405,2,"Field bindweed","Model 2"
"July","Gray headed coneflower","SET","SET-3",4,0.9,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Kentucky bluegrass","SWT","SWT-1",1,0.9,6,-0.311797650594964,6,"Kentucky bluegrass","Model 2"
"July","Side oats gramma","SWT","SWT-2",3,0.9,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"July","Stiff goldenrod","SWT","SWT-1",3,0.9,1,-0.514135436213015,1,"Stiff leaf goldenrod","Model 2"
"September","Gray headed coneflower","NET","NET-2",1,0.9,1,-0.514135436213015,1,"Grey headed coneflower","Model 2"
"September","Gray headed coneflower","WMT","WMT-1",3,0.9,6,-0.311797650594964,6,"Grey headed coneflower","Model 2"
"September","Kentucky bluegrass","NWT","NWT-1",6,0.9,12,-0.0689923078533035,12,"Kentucky bluegrass","Model 2"
"September","Sweet clover","NET","NET-3",3,0.9,0,-0.554602993336625,0,"Sweet clover","Model 2"
"May","Bergamot","NWT","NWT-1",6,1,1,-0.514135436213015,1,"Bergamot","Model 2"
"May","Canada wildrye","NET","NET-3",2,1,2,-0.473667879089405,2,"Canada wildrye","Model 2"
"May","Cup plant","WMT","WMT-2",6,1,0,-0.554602993336625,0,"Cup plant","Model 2"
"May","Gray headed coneflower","MT","MT-1",4,1,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"May","Little bluestem","NWT","NWT-3",3,1,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","WMT","WMT-2",5,1,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Pale purple coneflower","NWT","NWT-2",2,1,0,-0.554602993336625,0,"Pale purple coneflower","Model 2"
"July","Big bluestem","NWT","NWT-2",2,1,0,-0.554602993336625,0,"Big bluestem","Model 2"
"July","Black medic","SET","SET-3",1,1,1,-0.514135436213015,1,"Black medic","Model 2"
"July","Bull thistle","SET","SET-1",3,1,1,-0.514135436213015,1,"Bull thistle","Model 2"
"July","Canada wildrye","SET","SET-1",5,1,2,-0.473667879089405,2,"Canada wildrye","Model 2"
"July","Gray headed coneflower","NWT","NWT-1",4,1,3,-0.433200321965794,3,"Grey headed coneflower","Model 2"
"September","Gray headed coneflower","NET","NET-3",5,1,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Mullein","MT","MT-3",3,1,1,-0.514135436213015,1,"Mullein","Model 2"
"September","Side oats gramma","NET","NET-2",4,1,2,-0.473667879089405,2,"Side oats gramma","Model 2"
"May","Bergamot","NWT","NWT-1",3,1.1,3,-0.433200321965794,3,"Bergamot","Model 2"
"May","Dandelion","NET","NET-3",2,1.1,0,-0.554602993336625,0,"Dandelion","Model 2"
"May","Gray headed coneflower","NWT","NWT-2",5,1.1,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"May","Gray headed coneflower","NWT","NWT-3",4,1.1,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"May","Little bluestem","NWT","NWT-3",5,1.1,2,-0.473667879089405,2,"Little bluestem","Model 2"
"May","Little bluestem","WMT","WMT-1",2,1.1,1,-0.514135436213015,1,"Little bluestem","Model 2"
"May","Sweet clover","MT","MT-1",5,1.1,0,-0.554602993336625,0,"Sweet clover","Model 2"
"July","Bergamot","NET","NET-2",6,1.1,0,-0.554602993336625,0,"Bergamot","Model 2"
"July","Common milkweed","WMT","WMT-1",3,1.1,2,-0.473667879089405,2,"Common milkweed","Model 2"
"July","Indiangrass","MT","MT-3",5,1.1,1,-0.514135436213015,1,"Indiangrass","Model 2"
"July","Little bluestem","SWT","SWT-1",1,1.1,22,0.335683263382798,22,"Little bluestem","Model 2"
"July","Smooth brome","NET","NET-2",6,1.1,0,-0.554602993336625,0,"Smooth brome","Model 2"
"July","Smooth brome","WMT","WMT-3",2,1.1,4,-0.392732764842184,4,"Smooth brome","Model 2"
"September","Field bindweed","MT","MT-1",3,1.1,1,-0.514135436213015,1,"Field bindweed","Model 2"
"September","Gray headed coneflower","SET","SET-3",1,1.1,3,-0.433200321965794,3,"Grey headed coneflower","Model 2"
"September","Gray headed coneflower","WMT","WMT-1",1,1.1,8,-0.230862536347744,8,"Grey headed coneflower","Model 2"
"September","Oxeye sunflower","WMT","WMT-1",2,1.1,9,-0.190394979224134,9,"Oxeye sunflower","Model 2"
"September","Stiff goldenrod","WMT","WMT-3",2,1.1,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"May","Canada wildrye","WMT","WMT-1",1,1.2,13,-0.0285247507296934,13,"Canada wildrye","Model 2"
"May","Little bluestem","WMT","WMT-1",4,1.2,8,-0.230862536347744,8,"Little bluestem","Model 2"
"May","Little bluestem","WMT","WMT-3",3,1.2,2,-0.473667879089405,2,"Little bluestem","Model 2"
"May","Smooth brome","NWT","NWT-3",1,1.2,4,-0.392732764842184,4,"Smooth brome","Model 2"
"May","Sweet clover","WMT","WMT-3",4,1.2,13,-0.0285247507296934,13,"Sweet clover","Model 2"
"July","Field bindweed","SWT","SWT-1",2,1.2,0,-0.554602993336625,0,"Field bindweed","Model 2"
"July","Field bindweed","SWT","SWT-3",4,1.2,5,-0.352265207718574,5,"Field bindweed","Model 2"
"July","Mullein","NET","NET-2",1,1.2,0,-0.554602993336625,0,"Mullein","Model 2"
"July","Musk thistle","NWT","NWT-2",4,1.2,0,-0.554602993336625,0,"Musk thistle","Model 2"
"July","Side oats gramma","NET","NET-1",3,1.2,1,-0.514135436213015,1,"Side oats gramma","Model 2"
"September","Bergamot","NET","NET-3",4,1.2,1,-0.514135436213015,1,"Bergamot","Model 2"
"September","Gray headed coneflower","NWT","NWT-1",5,1.2,2,-0.473667879089405,2,"Grey headed coneflower","Model 2"
"September","Smooth brome","WMT","WMT-3",2,1.2,26,0.497553491877238,26,"Smooth brome","Model 2"
"September","Yellow wood sorrel","NET","NET-3",4,1.2,0,-0.554602993336625,0,"Yellow wood sorrel","Model 2"
"May","Bergamot","WMT","WMT-1",2,1.3,4,-0.392732764842184,4,"Bergamot","Model 2"
"May","Bergamot","WMT","WMT-1",5,1.3,1,-0.514135436213015,1,"Bergamot","Model 2"
"May","Canada wildrye","NWT","NWT-3",3,1.3,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"May","Gray headed coneflower","NWT","NWT-1",1,1.3,3,-0.433200321965794,3,"Grey headed coneflower","Model 2"
"May","Little bluestem","WMT","WMT-2",2,1.3,8,-0.230862536347744,8,"Little bluestem","Model 2"
"May","Stiff goldenrod","NWT","NWT-1",5,1.3,2,-0.473667879089405,2,"Stiff leaf goldenrod","Model 2"
"July","Bergamot","NET","NET-2",4,1.3,0,-0.554602993336625,0,"Bergamot","Model 2"
"July","Big bluestem","SET","SET-1",3,1.3,4,-0.392732764842184,4,"Big bluestem","Model 2"
"July","Field bindweed","MT","MT-3",5,1.3,2,-0.473667879089405,2,"Field bindweed","Model 2"
"July","Hedge bindweed","MT","MT-2",6,1.3,2,-0.473667879089405,2,"Hedge bindweed","Model 2"
"July","Little bluestem","SET","SET-3",4,1.3,6,-0.311797650594964,6,"Little bluestem","Model 2"
"September","Oxeye sunflower","NET","NET-3",6,1.3,0,-0.554602993336625,0,"Oxeye sunflower","Model 2"
"September","Smooth brome","WMT","WMT-1",3,1.3,2,-0.473667879089405,2,"Smooth brome","Model 2"
"May","Cup plant","WMT","WMT-3",6,1.4,4,-0.392732764842184,4,"Cup plant","Model 2"
"May","Hoary vervain","MT","MT-3",6,1.4,0,-0.554602993336625,0,"Hoary vervain","Model 2"
"May","Little bluestem","MT","MT-2",1,1.4,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","NET","NET-1",6,1.4,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","NWT","NWT-2",1,1.4,1,-0.514135436213015,1,"Little bluestem","Model 2"
"July","Big bluestem","SET","SET-2",6,1.4,4,-0.392732764842184,4,"Big bluestem","Model 2"
"July","Canada wildrye","NWT","NWT-3",4,1.4,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Cup plant","SET","SET-3",1,1.4,0,-0.554602993336625,0,"Cup plant","Model 2"
"July","Dandelion","SET","SET-1",5,1.4,0,-0.554602993336625,0,"Dandelion","Model 2"
"July","Gray headed coneflower","SET","SET-1",5,1.4,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Indiangrass","WMT","WMT-3",2,1.4,0,-0.554602993336625,0,"Indiangrass","Model 2"
"September","Gray headed coneflower","NWT","NWT-3",1,1.4,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Gray headed coneflower","NWT","NWT-3",2,1.4,8,-0.230862536347744,8,"Grey headed coneflower","Model 2"
"September","White prairie sage","MT","MT-1",5,1.4,0,-0.554602993336625,0,"White prairie sage","Model 2"
"May","Bergamot","NWT","NWT-1",4,1.5,2,-0.473667879089405,2,"Bergamot","Model 2"
"May","Little bluestem","NWT","NWT-3",4,1.5,0,-0.554602993336625,0,"Little bluestem","Model 2"
"July","Bergamot","SET","SET-3",3,1.5,1,-0.514135436213015,1,"Bergamot","Model 2"
"July","Bergamot","WMT","WMT-2",5,1.5,3,-0.433200321965794,3,"Bergamot","Model 2"
"July","Sweet clover","SET","SET-3",3,1.5,1,-0.514135436213015,1,"Sweet clover","Model 2"
"July","Sweet clover","WMT","WMT-1",6,1.5,0,-0.554602993336625,0,"Sweet clover","Model 2"
"September","Common milkweed","NET","NET-3",6,1.5,0,-0.554602993336625,0,"Common milkweed","Model 2"
"September","Little bluestem","WMT","WMT-1",3,1.5,4,-0.392732764842184,4,"Little bluestem","Model 2"
"September","Side oats gramma","NET","NET-1",5,1.5,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"September","Smooth brome","NET","NET-2",2,1.5,0,-0.554602993336625,0,"Smooth brome","Model 2"
"May","Bergamot","NWT","NWT-3",5,1.6,3,-0.433200321965794,3,"Bergamot","Model 2"
"May","Gray headed coneflower","WMT","WMT-3",1,1.6,4,-0.392732764842184,4,"Grey headed coneflower","Model 2"
"May","Hedge bindweed","WMT","WMT-1",6,1.6,2,-0.473667879089405,2,"Hedge bindweed","Model 2"
"May","Pale purple coneflower","NET","NET-2",3,1.6,1,-0.514135436213015,1,"Pale purple coneflower","Model 2"
"July","Gray headed coneflower","WMT","WMT-1",1,1.6,9,-0.190394979224134,9,"Grey headed coneflower","Model 2"
"July","Hedge bindweed","NET","NET-3",2,1.6,0,-0.554602993336625,0,"Hedge bindweed","Model 2"
"July","Side oats gramma","NWT","NWT-3",4,1.6,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"September","Gray headed coneflower","NWT","NWT-1",4,1.6,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Little bluestem","NWT","NWT-1",6,1.6,0,-0.554602993336625,0,"Little bluestem","Model 2"
"September","Little bluestem","NWT","NWT-2",5,1.6,0,-0.554602993336625,0,"Little bluestem","Model 2"
"September","Oxeye sunflower","SWT","SWT-2",2,1.6,0,-0.554602993336625,0,"Oxeye sunflower","Model 2"
"May","Little bluestem","MT","MT-3",4,1.7,8,-0.230862536347744,8,"Little bluestem","Model 2"
"May","Stiff goldenrod","NWT","NWT-1",4,1.7,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"July","Sweet clover","MT","MT-1",1,1.7,0,-0.554602993336625,0,"Sweet clover","Model 2"
"September","Canada wildrye","WMT","WMT-1",3,1.7,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"September","Oxeye sunflower","NET","NET-1",6,1.7,0,-0.554602993336625,0,"Oxeye sunflower","Model 2"
"May","Stiff goldenrod","NWT","NWT-1",6,1.8,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"May","Stiff goldenrod","NWT","NWT-3",3,1.8,2,-0.473667879089405,2,"Stiff leaf goldenrod","Model 2"
"July","Canada wildrye","NWT","NWT-1",6,1.8,1,-0.514135436213015,1,"Canada wildrye","Model 2"
"July","Gray headed coneflower","SWT","SWT-1",3,1.8,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Gray headed coneflower","WMT","WMT-3",1,1.8,9,-0.190394979224134,9,"Grey headed coneflower","Model 2"
"July","Little bluestem","SWT","SWT-2",6,1.8,3,-0.433200321965794,3,"Little bluestem","Model 2"
"July","Little bluestem","SWT","SWT-3",5,1.8,0,-0.554602993336625,0,"Little bluestem","Model 2"
"September","Bergamot","NWT","NWT-1",5,1.8,2,-0.473667879089405,2,"Bergamot","Model 2"
"September","Black eyed Susan","NET","NET-3",4,1.8,0,-0.554602993336625,0,"Black eyed Susan","Model 2"
"September","Oxeye sunflower","NWT","NWT-3",1,1.8,0,-0.554602993336625,0,"Oxeye sunflower","Model 2"
"September","Smooth brome","MT","MT-3",6,1.8,20,0.254748149135577,20,"Smooth brome","Model 2"
"May","Big bluestem","NWT","NWT-3",1,1.9,2,-0.473667879089405,2,"Big bluestem","Model 2"
"May","Field bindweed","WMT","WMT-3",6,1.9,0,-0.554602993336625,0,"Field bindweed","Model 2"
"May","Little bluestem","MT","MT-3",3,1.9,8,-0.230862536347744,8,"Little bluestem","Model 2"
"May","Little bluestem","MT","MT-3",6,1.9,2,-0.473667879089405,2,"Little bluestem","Model 2"
"July","Canada wildrye","WMT","WMT-2",2,1.9,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Cup plant","SET","SET-3",5,1.9,0,-0.554602993336625,0,"Cup plant","Model 2"
"July","Gray headed coneflower","SET","SET-2",6,1.9,4,-0.392732764842184,4,"Grey headed coneflower","Model 2"
"July","Little bluestem","NET","NET-3",1,1.9,0,-0.554602993336625,0,"Little bluestem","Model 2"
"July","Smooth brome","SWT","SWT-3",2,1.9,0,-0.554602993336625,0,"Smooth brome","Model 2"
"July","Stiff goldenrod","WMT","WMT-2",1,1.9,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"September","Common ragweed","MT","MT-1",5,1.9,0,-0.554602993336625,0,"Common ragweed","Model 2"
"September","Common ragweed","SWT","SWT-1",4,1.9,0,-0.554602993336625,0,"Common ragweed","Model 2"
"September","Gray headed coneflower","NET","NET-3",3,1.9,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Yellow foxtail","SWT","SWT-1",5,1.9,1,-0.514135436213015,1,"Yellow foxtail","Model 2"
"May","Canada wildrye","NWT","NWT-3",1,2,4,-0.392732764842184,4,"Canada wildrye","Model 2"
"May","Little bluestem","WMT","WMT-3",6,2,0,-0.554602993336625,0,"Little bluestem","Model 2"
"July","Gray headed coneflower","SET","SET-2",4,2,2,-0.473667879089405,2,"Grey headed coneflower","Model 2"
"July","Gray headed coneflower","SET","SET-2",5,2,2,-0.473667879089405,2,"Grey headed coneflower","Model 2"
"July","Gray headed coneflower","SET","SET-3",1,2,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Prickly lettuce","SET","SET-3",2,2,0,-0.554602993336625,0,"Prickly lettuce","Model 2"
"September","Bergamot","NET","NET-3",5,2,16,0.0928779206411369,16,"Bergamot","Model 2"
"September","Canada wildrye","NET","NET-2",4,2,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"September","Gray headed coneflower","WMT","WMT-3",1,2,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Little bluestem","NWT","NWT-2",4,2,0,-0.554602993336625,0,"Little bluestem","Model 2"
"September","Oxeye sunflower","SET","SET-1",6,2,0,-0.554602993336625,0,"Oxeye sunflower","Model 2"
"September","Smooth brome","NET","NET-3",2,2,0,-0.554602993336625,0,"Smooth brome","Model 2"
"May","Gray headed coneflower","NET","NET-3",6,2.1,6,-0.311797650594964,6,"Grey headed coneflower","Model 2"
"May","Gray headed coneflower","WMT","WMT-1",4,2.1,6,-0.311797650594964,6,"Grey headed coneflower","Model 2"
"May","Smooth brome","WMT","WMT-1",1,2.1,0,-0.554602993336625,0,"Smooth brome","Model 2"
"May","Sweet clover","NET","NET-2",1,2.1,0,-0.554602993336625,0,"Sweet clover","Model 2"
"July","Bergamot","SET","SET-1",5,2.1,2,-0.473667879089405,2,"Bergamot","Model 2"
"July","Big bluestem","MT","MT-3",3,2.1,2,-0.473667879089405,2,"Big bluestem","Model 2"
"July","Canada wildrye","WMT","WMT-3",2,2.1,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Cup plant","SET","SET-3",6,2.1,5,-0.352265207718574,5,"Cup plant","Model 2"
"July","Gray headed coneflower","SET","SET-2",1,2.1,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Gray headed coneflower","WMT","WMT-1",6,2.1,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Little bluestem","MT","MT-3",4,2.1,13,-0.0285247507296934,13,"Little bluestem","Model 2"
"September","Bergamot","WMT","WMT-2",1,2.1,6,-0.311797650594964,6,"Bergamot","Model 2"
"September","Field bindweed","MT","MT-2",3,2.1,0,-0.554602993336625,0,"Field bindweed","Model 2"
"September","Mullein","SET","SET-1",6,2.1,1,-0.514135436213015,1,"Mullein","Model 2"
"September","Panicle aster","SET","SET-1",6,2.1,0,-0.554602993336625,0,"Panicle aster","Model 2"
"May","Yellow nutsedge","NWT","NWT-1",1,2.2,0,-0.554602993336625,0,"Yellow nutsedge","Model 2"
"July","Bergamot","SET","SET-3",1,2.2,5,-0.352265207718574,5,"Bergamot","Model 2"
"July","Canada thistle","NET","NET-1",5,2.2,0,-0.554602993336625,0,"Canada thistle","Model 2"
"July","Cup plant","SWT","SWT-2",3,2.2,0,-0.554602993336625,0,"Cup plant","Model 2"
"July","Gray headed coneflower","NET","NET-2",1,2.2,1,-0.514135436213015,1,"Grey headed coneflower","Model 2"
"July","Gray headed coneflower","SET","SET-2",2,2.2,5,-0.352265207718574,5,"Grey headed coneflower","Model 2"
"July","Gray headed coneflower","SWT","SWT-1",1,2.2,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Sweet clover","WMT","WMT-1",4,2.2,12,-0.0689923078533035,12,"Sweet clover","Model 2"
"September","Little bluestem","WMT","WMT-2",1,2.2,10,-0.149927422100524,10,"Little bluestem","Model 2"
"September","Smooth brome","NET","NET-1",1,2.2,0,-0.554602993336625,0,"Smooth brome","Model 2"
"September","Yellow foxtail","NWT","NWT-3",1,2.2,0,-0.554602993336625,0,"Yellow foxtail","Model 2"
"May","Stiff goldenrod","NET","NET-3",3,2.3,5,-0.352265207718574,5,"Stiff leaf goldenrod","Model 2"
"May","Stiff goldenrod","NWT","NWT-3",2,2.3,1,-0.514135436213015,1,"Stiff leaf goldenrod","Model 2"
"July","Big bluestem","NET","NET-1",4,2.3,1,-0.514135436213015,1,"Big bluestem","Model 2"
"July","Black medic","SWT","SWT-1",2,2.3,12,-0.0689923078533035,12,"Black medic","Model 2"
"July","Canada thistle","NET","NET-2",6,2.3,1,-0.514135436213015,1,"Canada thistle","Model 2"
"July","Gray headed coneflower","NWT","NWT-2",3,2.3,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Gray headed coneflower","SWT","SWT-2",3,2.3,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Side oats gramma","NET","NET-3",1,2.3,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"July","Stiff goldenrod","NWT","NWT-3",2,2.3,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"September","Field bindweed","MT","MT-3",2,2.3,5,-0.352265207718574,5,"Field bindweed","Model 2"
"September","Field bindweed","WMT","WMT-1",1,2.3,0,-0.554602993336625,0,"Field bindweed","Model 2"
"September","Mullein","NET","NET-3",4,2.3,0,-0.554602993336625,0,"Mullein","Model 2"
"September","Stiff goldenrod","WMT","WMT-3",4,2.3,4,-0.392732764842184,4,"Stiff leaf goldenrod","Model 2"
"May","Bull thistle","NET","NET-2",6,2.4,0,-0.554602993336625,0,"Bull thistle","Model 2"
"May","Field bindweed","NET","NET-1",4,2.4,0,-0.554602993336625,0,"Field bindweed","Model 2"
"May","Gray headed coneflower","MT","MT-1",5,2.4,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"May","Gray headed coneflower","WMT","WMT-3",2,2.4,3,-0.433200321965794,3,"Grey headed coneflower","Model 2"
"May","Little bluestem","NWT","NWT-1",3,2.4,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","NWT","NWT-2",2,2.4,6,-0.311797650594964,6,"Little bluestem","Model 2"
"May","Stiff goldenrod","WMT","WMT-3",3,2.4,11,-0.109459864976914,11,"Stiff leaf goldenrod","Model 2"
"July","Canada wildrye","NET","NET-3",4,2.4,1,-0.514135436213015,1,"Canada wildrye","Model 2"
"July","Canada wildrye","NWT","NWT-1",5,2.4,0,-0.554602993336625,0,"Canada wildrye","Model 2"
"July","Gray headed coneflower","NET","NET-2",2,2.4,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Gray headed coneflower","SWT","SWT-2",2,2.4,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Gray headed coneflower","WMT","WMT-3",6,2.4,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"July","Little bluestem","NET","NET-2",4,2.4,1,-0.514135436213015,1,"Little bluestem","Model 2"
"September","Green foxtail","SWT","SWT-3",1,2.4,0,-0.554602993336625,0,"Green foxtail","Model 2"
"September","Gray headed coneflower","NWT","NWT-2",4,2.4,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Oxeye sunflower","SWT","SWT-3",6,2.4,0,-0.554602993336625,0,"Oxeye sunflower","Model 2"
"September","Side oats gramma","WMT","WMT-1",1,2.4,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"September","Side oats gramma","WMT","WMT-2",5,2.4,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"September","Smooth brome","WMT","WMT-1",4,2.4,8,-0.230862536347744,8,"Smooth brome","Model 2"
"July","Bergamot","SWT","SWT-1",1,2.5,3,-0.433200321965794,3,"Bergamot","Model 2"
"July","Black eyed Susan","WMT","WMT-3",6,2.5,0,-0.554602993336625,0,"Black eyed Susan","Model 2"
"July","Canada thistle","NWT","NWT-3",1,2.5,1,-0.514135436213015,1,"Canada thistle","Model 2"
"July","Common milkweed","SET","SET-1",3,2.5,2,-0.473667879089405,2,"Common milkweed","Model 2"
"July","Prickly lettuce","SET","SET-3",3,2.5,1,-0.514135436213015,1,"Prickly lettuce","Model 2"
"July","Side oats gramma","NWT","NWT-3",6,2.5,0,-0.554602993336625,0,"Side oats gramma","Model 2"
"September","Bergamot","WMT","WMT-3",1,2.5,2,-0.473667879089405,2,"Bergamot","Model 2"
"September","Gray headed coneflower","NET","NET-1",1,2.5,1,-0.514135436213015,1,"Grey headed coneflower","Model 2"
"September","Gray headed coneflower","NWT","NWT-2",5,2.5,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Little bluestem","NET","NET-1",2,2.5,3,-0.433200321965794,3,"Little bluestem","Model 2"
"September","Oxeye sunflower","SWT","SWT-2",3,2.5,0,-0.554602993336625,0,"Oxeye sunflower","Model 2"
"May","Canada wildrye","NET","NET-2",3,2.6,10,-0.149927422100524,10,"Canada wildrye","Model 2"
"May","Little bluestem","NWT","NWT-3",2,2.6,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Smooth brome","NWT","NWT-2",1,2.6,0,-0.554602993336625,0,"Smooth brome","Model 2"
"July","Big bluestem","WMT","WMT-3",2,2.6,0,-0.554602993336625,0,"Big bluestem","Model 2"
"September","Little bluestem","WMT","WMT-1",2,2.6,0,-0.554602993336625,0,"Little bluestem","Model 2"
"September","Stiff goldenrod","WMT","WMT-1",3,2.6,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"May","Stiff goldenrod","WMT","WMT-3",5,2.7,1,-0.514135436213015,1,"Stiff leaf goldenrod","Model 2"
"July","Big bluestem","NWT","NWT-1",1,2.7,2,-0.473667879089405,2,"Big bluestem","Model 2"
"July","Indiangrass","NET","NET-3",1,2.7,0,-0.554602993336625,0,"Indiangrass","Model 2"
"July","Switchgrass","SET","SET-3",1,2.7,0,-0.554602993336625,0,"Switchgrass","Model 2"
"September","Alfalfa","MT","MT-1",3,2.7,0,-0.554602993336625,0,"Alfalfa","Model 2"
"September","Gray headed coneflower","NWT","NWT-1",3,2.7,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Kentucky bluegrass","NWT","NWT-2",1,2.7,6,-0.311797650594964,6,"Kentucky bluegrass","Model 2"
"May","Bergamot","NET","NET-1",3,2.8,5,-0.352265207718574,5,"Bergamot","Model 2"
"May","Field bindweed","NET","NET-1",5,2.8,0,-0.554602993336625,0,"Field bindweed","Model 2"
"May","Stiff goldenrod","WMT","WMT-2",6,2.8,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"July","Gray headed coneflower","NWT","NWT-2",2,2.8,5,-0.352265207718574,5,"Grey headed coneflower","Model 2"
"July","Smooth brome","NET","NET-1",1,2.8,1,-0.514135436213015,1,"Smooth brome","Model 2"
"September","Gray headed coneflower","WMT","WMT-1",4,2.8,0,-0.554602993336625,0,"Grey headed coneflower","Model 2"
"September","Little bluestem","NET","NET-1",3,2.8,0,-0.554602993336625,0,"Little bluestem","Model 2"
"September","Oxeye sunflower","NET","NET-1",3,2.8,0,-0.554602993336625,0,"Oxeye sunflower","Model 2"
"May","Little bluestem","NET","NET-1",5,2.9,4,-0.392732764842184,4,"Little bluestem","Model 2"
"May","Little bluestem","NET","NET-3",2,2.9,0,-0.554602993336625,0,"Little bluestem","Model 2"
"May","Little bluestem","NWT","NWT-3",1,2.9,2,-0.473667879089405,2,"Little bluestem","Model 2"
"May","Stiff goldenrod","NET","NET-2",5,2.9,4,-0.392732764842184,4,"Stiff leaf goldenrod","Model 2"
"July","Big bluestem","NET","NET-1",5,2.9,1,-0.514135436213015,1,"Big bluestem","Model 2"
"July","Big bluestem","SET","SET-3",3,2.9,0,-0.554602993336625,0,"Big bluestem","Model 2"
"July","Big bluestem","WMT","WMT-2",1,2.9,0,-0.554602993336625,0,"Big bluestem","Model 2"
"July","Cup plant","SET","SET-1",6,2.9,1,-0.514135436213015,1,"Cup plant","Model 2"
"July","Little bluestem","WMT","WMT-3",3,2.9,2,-0.473667879089405,2,"Little bluestem","Model 2"
"July","Stiff goldenrod","NET","NET-3",1,2.9,0,-0.554602993336625,0,"Stiff leaf goldenrod","Model 2"
"September","Stiff goldenrod","WMT","WMT-1",4,2.9,1,-0.514135436213015,1,"Stiff leaf goldenrod","Model 2"
"May","Cup plant","WMT","WMT-1",5,3,2,-0.473667879089405,2,"Cup plant","Model 2"
"May","Little bluestem","MT","MT-1",4,3,4,-0.392732764842184,4,"Little bluestem","Model 2"
"May","Stiff goldenrod","NWT","NWT-1",3,3,1,-0.514135436213015,1,"Stiff leaf goldenrod","Model 2"
"July","Black eyed Susan","NET","NET-1",5,3,0,-0.554602993336625,0,"Black eyed Susan","Model 2"
